# file	sha1	names	declaration
src/backend/nodes/copyfuncs.switch.c	67d47a4d18e6fdaec6d4a946ea5e650f84d2b508	retval	retval = _copyAlterForeignServerStmt(from);
src/backend/nodes/copyfuncs.switch.c	2a3a5080db302fad864b5b590496a3959af531f4	retval	retval = _copyCreateForeignTableStmt(from);
src/backend/nodes/copyfuncs.switch.c	db7c70350e99f37f023fd90fdd2698be7d4fe015	retval	retval = _copyCreateUserMappingStmt(from);
src/backend/nodes/copyfuncs.switch.c	121b9d37b5216499edaf311c8e6fc837f0a0d69c	retval	retval = _copyAlterUserMappingStmt(from);
src/backend/nodes/copyfuncs.switch.c	e60824fd53c5d7e92a3db015df6c380bf25ccf01	retval	retval = _copyDropUserMappingStmt(from);
src/backend/nodes/copyfuncs.switch.c	0333b57962601f7dec124dd294b86a04ef0d9f06	retval	retval = _copyImportForeignSchemaStmt(from);
src/backend/nodes/copyfuncs.switch.c	f9b1f94718f7c159ef434f0b3954781defbcaf9d	retval	retval = _copyCreatePolicyStmt(from);
src/backend/nodes/copyfuncs.switch.c	6275d84db825b64764e7b88e480df7817d0eb0e6	retval	retval = _copyAlterPolicyStmt(from);
src/backend/nodes/copyfuncs.switch.c	ad9ed5f261f47e673d100e9df9c86e350e5db51a	retval	retval = _copyCreateAmStmt(from);
src/backend/nodes/copyfuncs.switch.c	7f8bc4356871767697eda8359ac724fc5505fa69	retval	retval = _copyCreateTrigStmt(from);
src/backend/nodes/copyfuncs.switch.c	fcc5b98a900f0e6d14837c18b6e0f48f6d2d55fe	retval	retval = _copyCreateEventTrigStmt(from);
src/backend/nodes/copyfuncs.switch.c	1d6a844b42c8b903077d8c304735af1ae676e3d5	retval	retval = _copyAlterEventTrigStmt(from);
src/backend/nodes/copyfuncs.switch.c	a7b32d8f8d54c20accb3f7b1feff7ca56e132cff	retval	retval = _copyCreatePLangStmt(from);
src/backend/nodes/copyfuncs.switch.c	342ffc887b60923038ba93018817e4b8ab1652f9	retval	retval = _copyCreateRoleStmt(from);
src/backend/nodes/copyfuncs.switch.c	b1625a8965b325d7f5fd17ec06030aab77cab2fa	retval	retval = _copyAlterRoleStmt(from);
src/backend/nodes/copyfuncs.switch.c	3f7588316d3a3e7fec11f5b789ab7747b2a9ce1f	retval	retval = _copyAlterRoleSetStmt(from);
src/backend/nodes/copyfuncs.switch.c	87fa994ecb3853821cf4d8a6337de21d2b415c1f	retval	retval = _copyDropRoleStmt(from);
src/backend/nodes/copyfuncs.switch.c	b6d0b7eb71faa16b492ad50c14720a80749a4530	retval	retval = _copyCreateSeqStmt(from);
src/backend/nodes/copyfuncs.switch.c	18ce3e537a8688bee5a4c55629d6e1dfdd28574a	retval	retval = _copyAlterSeqStmt(from);
